C:/Diploma/imgDiploma/orginal_sequences_cropped/original\863\0230.png;0
C:/Diploma/imgDiploma/orginal_sequences_cropped/original\338\0320.png;0
C:/Diploma/imgDiploma/orginal_sequences_cropped/original\671\0120.png;0
C:/Diploma/imgDiploma/orginal_sequences_cropped/original\678\0220.png;0
C:/Diploma/imgDiploma/manipulated_sequences_cropped/FaceSwap\173_171\0190.png;1
C:/Diploma/imgDiploma/manipulated_sequences_cropped/FaceSwap\943_942\0050.png;1
C:/Diploma/imgDiploma/manipulated_sequences_cropped/FaceSwap\496_417\0060.png;1
C:/Diploma/imgDiploma/orginal_sequences_cropped/original\329\0260.png;0
C:/Diploma/imgDiploma/orginal_sequences_cropped/original\209\0270.png;0
C:/Diploma/imgDiploma/orginal_sequences_cropped/original\697\0170.png;0
C:/Diploma/imgDiploma/manipulated_sequences_cropped/FaceSwap\748_355\0150.png;1
C:/Diploma/imgDiploma/orginal_sequences_cropped/original\478\0710.png;0
C:/Diploma/imgDiploma/manipulated_sequences_cropped/FaceSwap\398_457\0060.png;1
C:/Diploma/imgDiploma/manipulated_sequences_cropped/FaceSwap\778_798\0050.png;1
C:/Diploma/imgDiploma/orginal_sequences_cropped/original\496\1390.png;0
C:/Diploma/imgDiploma/manipulated_sequences_cropped/FaceSwap\207_908\0230.png;1
C:/Diploma/imgDiploma/orginal_sequences_cropped/original\645\0520.png;0
C:/Diploma/imgDiploma/manipulated_sequences_cropped/FaceSwap\430_459\0120.png;1
C:/Diploma/imgDiploma/orginal_sequences_cropped/original\179\0190.png;0
C:/Diploma/imgDiploma/orginal_sequences_cropped/original\910\0010.png;0
C:/Diploma/imgDiploma/manipulated_sequences_cropped/FaceSwap\211_177\0330.png;1
C:/Diploma/imgDiploma/orginal_sequences_cropped/original\307\0300.png;0
C:/Diploma/imgDiploma/manipulated_sequences_cropped/FaceSwap\663_231\0130.png;1
C:/Diploma/imgDiploma/manipulated_sequences_cropped/FaceSwap\241_210\0250.png;1
C:/Diploma/imgDiploma/orginal_sequences_cropped/original\415\0040.png;0
C:/Diploma/imgDiploma/orginal_sequences_cropped/original\509\0470.png;0
C:/Diploma/imgDiploma/manipulated_sequences_cropped/FaceSwap\289_228\0520.png;1
C:/Diploma/imgDiploma/manipulated_sequences_cropped/FaceSwap\118_120\0030.png;1
C:/Diploma/imgDiploma/orginal_sequences_cropped/original\187\0590.png;0
C:/Diploma/imgDiploma/manipulated_sequences_cropped/FaceSwap\910_911\0220.png;1
C:/Diploma/imgDiploma/manipulated_sequences_cropped/FaceSwap\356_324\0440.png;1
C:/Diploma/imgDiploma/manipulated_sequences_cropped/FaceSwap\604_703\0320.png;1
C:/Diploma/imgDiploma/orginal_sequences_cropped/original\983\0180.png;0
C:/Diploma/imgDiploma/orginal_sequences_cropped/original\215\0180.png;0
C:/Diploma/imgDiploma/orginal_sequences_cropped/original\160\0100.png;0
C:/Diploma/imgDiploma/manipulated_sequences_cropped/FaceSwap\839_864\0260.png;1
C:/Diploma/imgDiploma/manipulated_sequences_cropped/FaceSwap\077_100\0310.png;1
C:/Diploma/imgDiploma/orginal_sequences_cropped/original\051\0600.png;0
C:/Diploma/imgDiploma/orginal_sequences_cropped/original\825\0400.png;0
C:/Diploma/imgDiploma/orginal_sequences_cropped/original\179\0200.png;0
